date,time,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,unique_key,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2015-06-24 00:00:00+00,16:05:00,,,,,ROCKLAND AVENUE,ANJALI LOOP,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,,,3246836,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
2015-06-24 00:00:00+00,16:40:00,,,,,PLAZA STREET WEST,FLATBUSH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3248376,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
2015-06-24 00:00:00+00,17:14:00,,,,,,,8973 BAY PARKWAY (PARKING LOT),0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3246429,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-24 00:00:00+00,20:00:00,BRONX,10468,40.8717651,-73.8909882,MINERVA PLACE,JEROME AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3246398,PASSENGER VEHICLE,TAXI,,,
2015-06-24 00:00:00+00,16:55:00,,,,,56 AVENUE,94 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3246752,BUS,VAN,,,
2015-06-24 00:00:00+00,09:30:00,,,,,HORACE HARDING EXPRESSWAY,COLLEGE POINT BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3246007,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2015-06-24 00:00:00+00,13:50:00,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3246735,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-23 00:00:00+00,15:04:00,MANHATTAN,10280,40.7058002,-74.0169951,WEST STREET,1 PLACE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3244631,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-23 00:00:00+00,16:00:00,,,,,FRANCIS LEWIS BOULEVARD,CROSS ISLAND PARKWAY,,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,,,,3245427,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2015-06-23 00:00:00+00,10:15:00,,,,,ASTORIA BOULEVARD,33 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3245491,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
2015-06-23 00:00:00+00,08:47:00,,,,,WEST 183 STREET,LORING PLACE NORTH,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3244953,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
2015-06-23 00:00:00+00,23:35:00,,,,,,,,0,0,0,0,0,0,0,0,Driver Inexperience,Fatigued/Drowsy,,,,3245241,VAN,UNKNOWN,,,
2015-06-22 00:00:00+00,18:30:00,,,,,GRND CNTRL PARKWAY SR EAST,72 ROAD,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3245461,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2015-06-23 00:00:00+00,15:40:00,BROOKLYN,11208,40.6728543,-73.8804875,SHEPHERD AVENUE,BELMONT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3245134,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-23 00:00:00+00,08:45:00,,,,,188 STREET,GRAND CENTRAL PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3252546,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2015-06-23 00:00:00+00,12:00:00,,,,,,,PARKING LOT 210-31 26 AVE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3245424,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-22 00:00:00+00,13:40:00,,,,,SUTTER AVENUE,ETNA STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3245139,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-22 00:00:00+00,03:45:00,MANHATTAN,10012,40.7241363,-73.9926041,EAST HOUSTON STREET,BOWERY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3244651,TAXI,TAXI,,,
2015-06-22 00:00:00+00,20:14:00,,,,,EAST 34 STREET,AVENUE N,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3251029,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
