time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-17T01:56:31.300Z,36.4542,70.6673,207.66,4.4,mb,,93,1.335,1.48,us,us20007ep2,2016-10-17T02:14:37.040Z,"47km SSW of Jarm, Afghanistan",earthquake,7.4,5.9,0.103,27,reviewed,us,us
2016-10-17T01:30:33.130Z,37.8691,26.8964,23.06,4.3,mb,,41,1.449,1.13,us,us20007ep0,2016-10-17T13:44:50.783Z,"10km N of Kokkarion, Greece",earthquake,5.3,6.7,0.126,18,reviewed,us,us
2016-10-17T01:25:44.000Z,18.3372,-66.1784,16,3,Md,11,154.8,0.0943231,0.18,pr,pr16291000,2016-10-17T04:19:44.934Z,"5km SE of Pajaros, Puerto Rico",earthquake,0.6,0.9,0,10,reviewed,pr,pr
2016-10-17T00:43:21.650Z,40.1523333,-120.2203333,2.75,2.72,md,25,178,0.3048,0.08,nc,nc72713556,2016-10-18T18:30:04.514Z,"30km ESE of Janesville, California",earthquake,0.53,2.39,0.108,27,reviewed,nc,nc
2016-10-17T00:37:14.180Z,36.6053,70.8437,246.32,4.7,mb,,67,1.13,0.81,us,us20007enr,2016-10-17T01:55:10.040Z,"28km S of Jarm, Afghanistan",earthquake,7.6,5.4,0.044,153,reviewed,us,us
2016-10-17T00:35:53.950Z,-33.6969,-71.7523,36.46,4,mb,,73,0.121,0.63,us,us20007enn,2016-10-17T01:40:47.267Z,"16km SW of San Antonio, Chile",earthquake,2.3,8.4,0.365,2,reviewed,us,us
2016-10-17T00:13:55.590Z,-63.5767,-61.8369,10,4.9,mb,,112,1.544,1.29,us,us20007enj,2016-10-17T00:33:05.040Z,"171km NE of Palmer Station, Antarctica",earthquake,7.4,1.9,0.096,34,reviewed,us,us
2016-10-16T23:45:10.780Z,-7.4097,126.5087,314.52,4.4,mb,,45,3.216,0.71,us,us20007eng,2016-10-17T00:03:00.040Z,"163km NE of Dili, East Timor",earthquake,7.5,8.4,0.109,24,reviewed,us,us
2016-10-16T23:44:43.200Z,18.103,-67.4937,11,2.8,Md,7,252,0.28027437,0.4,pr,pr16290007,2016-10-17T04:18:59.739Z,"32km W of Puerto Real, Puerto Rico",earthquake,2,1.3,0,7,reviewed,pr,pr
2016-10-16T23:21:32.910Z,39.7988,20.6311,10.09,4.2,mb,,59,0.649,1.29,us,us20007enf,2016-10-16T23:41:05.040Z,"12km NW of Rodotopion, Greece",earthquake,5.2,7.1,0.2,7,reviewed,us,us
2016-10-16T20:22:17.340Z,-3.2944,150.6502,10,4.7,mb,,98,1.753,1.24,us,us20007en2,2016-10-16T21:24:26.040Z,"81km SSW of Kavieng, Papua New Guinea",earthquake,8.9,1.9,0.159,12,reviewed,us,us
2016-10-16T19:55:17.320Z,42.7208,-111.7703,6.2,3.2,ml,,168,0.443,0.49,us,us20007emm,2016-10-17T08:31:43.047Z,"15km WNW of Soda Springs, Idaho",earthquake,1.7,9.5,0.052,48,reviewed,us,us
2016-10-16T19:01:40.670Z,39.7848,20.6133,27.14,4.6,mb,,59,0.634,1.33,us,us20007ema,2016-10-16T20:18:45.106Z,"12km NW of Rodotopion, Greece",earthquake,4.5,6.6,0.107,26,reviewed,us,us
